,N (kg/ha),P (kg/ha),K (kg/ha),Temperature (°C),Humidity (%),pH,Rainfall (mm),label,Governorate,Irrigation,Fertilizer Plant,Flood,Sprinkler,Drip,Planting Season,Growing Season,Harvest Season,Area (ha),Fertilizer (kg),Pesticide (kg),Yield (t/ha),Year,Month,Date,Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Wind Speed (m/s),District
10,36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,2176.0,373749.76,805.12,0.648,2024,10,2024-10-10,31.2,21.9,0.0,23.5,District II (Grand Tunis et ses environs)
11,49,72,15,31.55846339,67.83563765,7.137004749,74.86960831,blackgram,Kasserine,Drip,DAP,bad,medium,best,summer,summer,autumn,81.0,12798.0,26.73,0.6464646464646464,2023,11,2023-11-03,27.2,14.7,0.0,21.5,District III (Centre/Sahel)
12,113,21,33,26.02241444,55.83288958,7.277422737999999,176.90209240000004,coffee,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,284.0,44872.0,93.72,3.341414141414141,2024,5,2024-05-06,32.6,14.2,0.2,17.9,District I (Nord-Ouest)
13,31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,chickpea,Tunis,Drip,Fourteen-Thirty Five-Fourteen,bad,medium,best,autumn,winter,spring,42000.0,6632220.0,13860.0,0.7025,2020,9,2020-09-01,28.8,20.8,0.0,17.4,District II (Grand Tunis et ses environs)
14,91,13,47,29.10968327,92.43510994,6.14410903,27.95602304,muskmelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,90.0,14220.0,29.700000000000003,29.17171717171717,2022,12,2022-12-30,18.5,4.9,0.0,10.0,District I (Nord-Ouest)
15,41,26,24,29.53,59.06,7.2,460.0,urad,Mahdia,Drip,Twenty Eight-Twenty Eight,bad,medium,best,spring,summer,autumn,51579.0,8144839.89,17021.07,0.667777778,2023,2,2023-02-06,16.3,7.3,1.3,19.4,District III (Centre/Sahel)
16,37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,blackgram,Kairouan,Drip,DAP,bad,medium,best,summer,summer,autumn,92.0,14536.0,30.360000000000003,0.7878787878787878,2021,7,2021-07-15,36.2,21.2,0.0,21.3,District III (Centre/Sahel)
17,69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,Manouba,Sprinkler,Twenty Eight-Twenty Eight,bad,best,bad,spring,summer,autumn,1355321.0,232789935.0,501468.77,3.572068966,2020,10,2020-10-08,24.6,16.9,0.0,19.9,District II (Grand Tunis et ses environs)
18,28,123,198,23.46260321,91.45665004,5.682751473,111.7763395,apple,Tunis,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,winter,spring,autumn,15318.0,2420244.0,5054.9400000000005,20.674747474747477,2021,6,2021-06-07,28.7,20.0,0.0,23.2,District II (Grand Tunis et ses environs)
19,6,69,19,26.88630675,41.69617915,4.7509292180000005,94.46748008,pigeonpeas,Sfax,Drip,DAP,bad,medium,best,spring,summer,autumn,21.0,3318.0,6.930000000000001,0.711111111111111,2023,6,2023-06-07,24.3,18.2,0.0,17.8,District IV (Sud-Ouest)
20,200,100,150,30.0,75.0,7.5,700.0,apricot,Jendouba,Drip,Urea,bad,medium,best,winter,spring,summer,3073.0,485534.0,1014.09,4.0,2022,2,2022-02-28,8.6,4.0,14.6,6.6,District I (Nord-Ouest)
21,111,32,34,25.46743689,69.35161206,6.392048018,171.37644619999998,coffee,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,223.0,35234.0,73.59,2.316161616161616,2024,4,2024-04-22,18.6,7.1,0.0,19.2,District I (Nord-Ouest)
22,108,92,53,27.40053601,82.96221306,6.276800323,104.9378,banana,Jendouba,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,246.0,38845.86,81.18,15.98666667,2020,10,2020-10-15,22.3,13.5,0.0,18.8,District I (Nord-Ouest)
23,28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,5552.0,953611.52,2054.24,0.871538462,2022,3,2022-03-29,23.2,9.5,0.0,20.2,District II (Grand Tunis et ses environs)
24,42,60,47,33.46873719,92.12746225,6.834808347999999,136.8277041,papaya,Kasserine,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,960.0,151680.0,316.8,61.36363636363636,2020,11,2020-11-18,22.2,12.2,0.0,13.5,District III (Centre/Sahel)
25,18,21,35,23.2801227,94.94330457,6.368560522,111.1382096,pomegranate,Sfax,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,autumn,4300.0,679400.0,1419.0,9.46116504854369,2021,8,2021-08-01,37.6,27.1,0.0,34.6,District IV (Sud-Ouest)
26,87,28,30,25.60153969,68.66257977,6.536676653,168.8383605,coffee,Bizerte,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,152.0,24016.0,50.16,1.378787878787879,2020,8,2020-08-19,31.1,23.8,0.0,17.3,District I (Nord-Ouest)
27,107,22,54,27.99611732,90.84660317,6.630301421,21.61893763,muskmelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,580.0,91640.0,191.4,29.87878787878788,2021,7,2021-07-13,34.2,22.4,0.0,29.5,District I (Nord-Ouest)
28,16,75,21,18.50692825,23.61670065,5.679224346,87.05132890000002,kidneybeans,Sfax,Drip,DAP,bad,medium,best,spring,summer,autumn,690.0,109020.0,227.7,0.6919191919191919,2024,3,2024-03-19,26.2,15.2,0.0,26.4,District IV (Sud-Ouest)
29,5,126,197,12.80000387,81.20876367,6.417500829,67.10439401,grapes,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,winter,spring,summer,5300.0,837400.0,1749.0,11.444444444444445,2020,1,2020-01-21,18.4,14.6,0.1,32.2,District II (Grand Tunis et ses environs)
30,26,121,201,22.19109412,90.02575116,6.162034371,112.3126628,apple,Tunis,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,winter,spring,autumn,4045.0,639110.0,1334.85,14.056565656565656,2021,9,2021-09-18,35.5,24.6,0.0,17.4,District II (Grand Tunis et ses environs)
31,34,15,34,27.05826457,91.10510371,5.677282677999999,224.70069530000004,coconut,Sfax,Flood,Ten-Twenty Six-Twenty Six,best,medium,bad,summer,summer,autumn,19917.0,3135732.48,7568.46,9156.942222,2021,3,2021-03-25,18.2,8.8,0.0,23.2,District IV (Sud-Ouest)
32,34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,chickpea,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,3590000.0,565209600.0,1364200.0,1.420196078,2023,12,2023-12-10,19.7,11.7,0.5,31.9,District II (Grand Tunis et ses environs)
33,100,50,80,15.0,50.0,6.0,300.0,fava bean,Jendouba,Drip,Urea,bad,medium,best,autumn,winter,spring,10.0,1580.0,3.3000000000000003,1.8,2024,8,2024-08-08,39.4,22.5,0.0,13.0,District I (Nord-Ouest)
34,35,138,200,21.19909519,90.80819418,5.67130617,103.6838922,apple,Tunis,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,winter,spring,autumn,25182.0,3978756.0,8310.06,41.26464646464646,2024,1,2024-01-18,23.1,12.2,0.0,20.0,District II (Grand Tunis et ses environs)
35,39,60,15,35.09357419,30.98685456,5.004074623999999,116.9106908,pigeonpeas,Kairouan,Drip,DAP,bad,medium,best,spring,summer,autumn,6.0,948.0,1.98,1.011111111111111,2020,6,2020-06-06,33.3,19.0,0.0,18.4,District III (Centre/Sahel)
36,49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,chickpea,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,101431.0,15544300.75,35500.85,1.324827586,2023,2,2023-02-24,27.9,9.8,0.0,21.6,District II (Grand Tunis et ses environs)
37,15,14,8,10.01081312,90.22399223,6.22094286,119.3941064,orange,Tataouine,Drip,Seventeen-Seventeen-Seventeen,bad,medium,best,spring,summer,autumn,3256.0,514448.0,1074.48,15.44040404040404,2020,11,2020-11-19,18.8,14.0,2.8,20.4,District V (Sud)
38,28,37,28,32.13409675,50.52559148,6.097869767000001,98.63333684,mango,Sfax,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,summer,11827.0,1868666.0,3902.91,14.757575757575758,2020,7,2020-07-10,29.0,23.0,0.0,23.9,District IV (Sud-Ouest)
39,113,37,20,25.03300222,79.04368718,7.393441155,97.10087029,cotton,Jendouba,Drip,Urea,bad,medium,best,spring,summer,autumn,283.0,45902.6,99.05,1.515,2022,10,2022-10-30,28.1,13.2,0.0,14.1,District I (Nord-Ouest)
40,30,65,25,32.88733849,64.59457409,7.70650895,71.50569456,blackgram,Sidi Bouzid,Drip,DAP,bad,medium,best,summer,summer,autumn,85.0,13430.0,28.05,0.98989898989899,2023,1,2023-01-27,14.0,2.2,3.5,14.7,District IV (Sud-Ouest)
41,116,28,34,23.44372334,60.39523266,6.42321105,122.2103248,coffee,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,425.0,67150.0,140.25,1.7010101010101009,2021,6,2021-06-20,41.6,22.2,0.0,26.2,District I (Nord-Ouest)
42,119,25,51,26.47330219,80.92254421,6.283818329,53.65742581,watermelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,4382.0,692356.0,1446.0600000000002,51.98252427184466,2021,1,2021-01-10,17.0,10.0,3.0,10.8,District I (Nord-Ouest)
43,27,30,5,32.71748548,90.54608254,7.656978112000001,113.328978,orange,Gabes,Drip,Twenty Eight-Twenty Eight,bad,medium,best,spring,summer,autumn,14157.0,2236806.0,4671.81,15.755555555555556,2020,11,2020-11-29,19.3,11.0,0.0,28.7,District V (Sud)
44,23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,mungbean,Sfax,Drip,Fourteen-Thirty Five-Fourteen,bad,medium,best,summer,summer,autumn,1.0,158.0,0.33,0.8131313131313131,2020,5,2020-05-25,27.3,15.7,0.0,22.0,District IV (Sud-Ouest)
45,37,57,20,31.1006247,44.82069159,7.354286985,70.79934452,mothbeans,Kairouan,Drip,DAP,bad,medium,best,spring,summer,autumn,16.0,2452.0,5.6,0.94,2024,6,2024-06-19,40.6,25.6,0.0,21.8,District III (Centre/Sahel)
46,133,67,103,20.0,58.0,6.5,433.0,fava bean,Jendouba,Drip,Urea,bad,medium,best,autumn,winter,spring,6670.0,1053860.0,2201.1,0.4,2020,10,2020-10-25,25.5,12.1,0.0,13.8,District I (Nord-Ouest)
47,57,64,55,26.68386496,92.9585411,6.583760498999999,62.50689682,papaya,Tunis,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,72.0,11376.0,23.76,37.27272727272727,2022,10,2022-10-21,30.2,16.6,0.0,16.6,District II (Grand Tunis et ses environs)
48,22,133,201,23.81995682,80.12211649,6.00299607,67.27398640000001,grapes,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,winter,spring,summer,3000.0,474000.0,990.0,12.0,2021,11,2021-11-29,12.2,9.1,6.1,31.2,District II (Grand Tunis et ses environs)
49,32,130,196,40.66012294,81.24995984,6.372959542,74.03030056,grapes,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,winter,spring,summer,1000.0,158000.0,330.0,13.11111111111111,2021,2,2021-02-13,15.9,11.0,5.5,33.2,District II (Grand Tunis et ses environs)
50,38,61,52,31.22790131,94.94021378,6.620729882000001,46.44279118,papaya,Kasserine,Sprinkler,Fourteen-Thirty Five-Fourteen,bad,best,bad,spring,summer,autumn,687.0,108546.0,226.71,74.0909090909091,2021,12,2021-12-07,15.4,5.3,0.0,21.4,District III (Centre/Sahel)
51,40,140,195,14.97846952,80.49979873,6.2943956760000015,71.63437433,grapes,Tunis,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,winter,spring,summer,1700.0,268600.0,561.0,7.444444444444445,2024,7,2024-07-11,33.2,22.2,0.0,16.8,District II (Grand Tunis et ses environs)
52,10,136,204,21.19852186,92.15595143,6.276198595,105.8554351,apple,Tunis,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,winter,spring,autumn,16445.0,2598310.0,5426.85,39.7939393939394,2023,1,2023-01-15,20.5,8.6,0.0,13.7,District II (Grand Tunis et ses environs)
53,2,24,38,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate,Sfax,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,autumn,823.0,130034.0,271.59000000000003,13.703883495145632,2021,3,2021-03-31,19.7,9.9,0.0,17.4,District IV (Sud-Ouest)
54,19,51,25,26.80474415,48.23991436,3.5253661,43.87801983,mothbeans,Sfax,Drip,Fourteen-Thirty Five-Fourteen,bad,medium,best,spring,summer,autumn,410.0,70421.6,151.7,0.208333333,2022,10,2022-10-27,25.5,16.0,0.0,12.1,District IV (Sud-Ouest)
55,23,65,20,23.0429097,22.42610972,5.833940084,108.3684316,kidneybeans,Sidi Bouzid,Drip,DAP,bad,medium,best,spring,summer,autumn,230.0,36340.0,75.9,0.5505050505050505,2022,5,2022-05-24,38.3,18.8,0.0,20.4,District IV (Sud-Ouest)
56,77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize,Bizerte,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,249982.0,39474657.62,82494.06,3.842352941,2020,1,2020-01-20,17.0,11.5,1.0,30.1,District I (Nord-Ouest)
57,83,23,55,26.89750174,83.89241484,6.463271076,43.97193745,watermelon,Bizerte,Sprinkler,Urea,bad,best,bad,spring,summer,summer,4667.0,737386.0,1540.11,36.33106796116505,2021,10,2021-10-10,20.1,17.0,21.4,18.7,District I (Nord-Ouest)
58,103,16,49,24.06731461,81.64075303,6.915717008,51.75212401,watermelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,4572.0,722376.0,1508.76,45.988349514563104,2022,12,2022-12-07,19.0,9.8,0.1,12.6,District I (Nord-Ouest)
59,99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,Jendouba,Flood,Urea,best,medium,bad,spring,summer,autumn,9048.0,1467585.6,3166.8,3.976666667,2024,9,2024-09-18,27.1,15.2,0.0,14.4,District I (Nord-Ouest)
60,30,137,200,22.91430043,90.70475565,5.603413172000001,118.6044645,apple,Tunis,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,winter,spring,autumn,3482.0,550156.0,1149.06,7.07070707070707,2024,5,2024-05-16,27.9,17.4,0.0,17.0,District II (Grand Tunis et ses environs)
61,5,15,38,18.26233221,88.16779129,5.709380472,108.0756727,pomegranate,Sfax,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,autumn,8358.0,1320564.0,2758.1400000000003,13.150485436893204,2022,5,2022-05-31,34.8,22.2,0.0,20.9,District IV (Sud-Ouest)
62,108,26,52,28.82629037,94.26765349,6.201797639,26.23838511,muskmelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,60.0,9480.0,19.8,26.2020202020202,2021,1,2021-01-12,11.9,7.9,4.5,30.6,District I (Nord-Ouest)
63,24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,chickpea,Kasserine,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,3223000.0,493924750.0,1128050.0,1.435098039,2020,7,2020-07-09,37.6,25.1,0.0,22.7,District III (Centre/Sahel)
64,21,21,38,22.5526059,89.32594859999998,6.327673765,104.8955643,pomegranate,Sfax,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,autumn,2368.0,374144.0,781.44,9.92233009708738,2020,4,2020-04-12,21.1,11.9,0.0,20.5,District IV (Sud-Ouest)
65,92,7,45,26.70607759,81.14149505,6.944640222,51.51033554,watermelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,2859.0,451722.0,943.47,40.66019417475728,2023,11,2023-11-09,22.4,10.4,3.4,9.4,District I (Nord-Ouest)
66,7,144,195,22.96388477,93.58065995,5.85648105,104.64729859999998,apple,Tunis,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,winter,spring,autumn,5173.0,817334.0,1707.09,36.48484848484848,2024,8,2024-08-08,34.1,22.4,0.0,14.6,District II (Grand Tunis et ses environs)
67,167,83,127,25.0,67.0,7.0,567.0,carrot,Jendouba,Drip,Urea,bad,medium,best,autumn,winter,spring,2240.0,353920.0,739.2,55.0,2023,9,2023-09-20,38.8,23.4,0.0,31.8,District I (Nord-Ouest)
68,10,18,35,27.79797651,99.64573002,6.381975465,181.6942283,coconut,Sfax,Flood,Ten-Twenty Six-Twenty Six,best,medium,bad,summer,summer,autumn,1941.0,306503.31,640.53,12467.6075,2020,7,2020-07-13,31.1,22.5,0.0,18.7,District IV (Sud-Ouest)
69,28,6,40,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate,Sfax,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,autumn,1499.0,236842.0,494.67,12.04368932038835,2022,5,2022-05-31,34.8,22.2,0.0,20.9,District IV (Sud-Ouest)
70,100,50,80,15.0,50.0,6.0,300.0,pepper,Jendouba,Drip,Urea,bad,medium,best,spring,summer,summer,1337.0,211246.0,441.21,31.666666666666668,2021,6,2021-06-18,40.6,22.6,0.0,19.8,District I (Nord-Ouest)
71,167,83,127,25.0,67.0,7.0,567.0,chickpea,Jendouba,Drip,Urea,bad,medium,best,autumn,winter,spring,620776.0,106624485.8,229687.12,1.258,2023,7,2023-07-14,40.7,23.2,0.0,17.3,District I (Nord-Ouest)
72,117,86,48,28.6956201,82.54195839,6.225225238999999,116.1616839,banana,Jendouba,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,49266.0,7550014.5,17243.1,16.79111111,2022,5,2022-05-31,40.5,17.9,0.0,14.8,District I (Nord-Ouest)
73,80,26,55,24.53442564,88.989272,6.140099215,49.11618732,watermelon,Bizerte,Sprinkler,Urea,bad,best,bad,spring,summer,summer,3478.0,549524.0,1147.74,61.306796116504856,2021,4,2021-04-21,20.7,11.0,0.1,25.2,District I (Nord-Ouest)
74,97,35,26,24.91461008,53.74144743,6.334610249,166.2549307,coffee,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,314.0,49612.0,103.62,1.3494949494949493,2023,6,2023-06-06,24.4,15.1,2.4,12.2,District I (Nord-Ouest)
75,34,62,55,27.58548913,90.72526502,6.585346229,238.5008779,papaya,Kasserine,Sprinkler,Fourteen-Thirty Five-Fourteen,bad,best,bad,spring,summer,autumn,828.0,130824.0,273.24,41.81818181818182,2021,2,2021-02-10,20.7,7.3,0.0,23.6,District III (Centre/Sahel)
76,15,45,23,24.20422636,61.43378674,7.224193642,46.0203959,mothbeans,Sfax,Drip,Fourteen-Thirty Five-Fourteen,bad,medium,best,spring,summer,autumn,11559.0,1985373.84,4276.83,0.453157895,2024,4,2024-04-16,23.1,16.1,1.3,32.0,District IV (Sud-Ouest)
77,31,68,45,42.92325255,90.07600528,6.938313356,196.2408242,papaya,Kasserine,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,445.0,70310.0,146.85,70.9090909090909,2020,8,2020-08-13,38.6,22.1,0.0,11.9,District III (Centre/Sahel)
78,40,32,25,24.6,59.61,6.2,597.97,coriander,Mahdia,Drip,Twenty Eight-Twenty Eight,bad,medium,best,autumn,winter,spring,1778.0,272478.5,622.3,0.390625,2024,7,2024-07-10,33.3,21.4,0.0,14.8,District III (Centre/Sahel)
79,7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,mungbean,Sfax,Drip,DAP,bad,medium,best,summer,summer,autumn,27.0,4266.0,8.91,0.8787878787878789,2021,1,2021-01-30,26.0,14.0,0.0,36.0,District IV (Sud-Ouest)
80,0,19,33,27.1326009,95.23797989,6.234458417000001,204.7206567,coconut,Sfax,Flood,Ten-Twenty Six-Twenty Six,best,medium,bad,summer,summer,autumn,790223.0,124784113.9,260773.59,6721.946429,2022,6,2022-06-12,31.8,21.1,0.0,31.4,District IV (Sud-Ouest)
81,100,48,17,23.7805123,83.03878838,7.827877817999999,66.26555904,cotton,Jendouba,Drip,Urea,bad,medium,best,spring,summer,autumn,71.0,10880.75,24.85,0.426666667,2024,5,2024-05-25,32.2,18.2,0.0,22.7,District I (Nord-Ouest)
82,133,67,103,20.0,58.0,6.5,433.0,sunflower,Jendouba,Drip,Urea,bad,medium,best,spring,summer,autumn,12602.0,1931256.5,4410.7,0.910833333,2021,11,2021-11-06,19.1,11.6,26.3,8.7,District I (Nord-Ouest)
83,100,52,19,23.45969093,82.44777468,7.903528672999999,93.50153555,cotton,Jendouba,Drip,Urea,bad,medium,best,spring,summer,autumn,1896993.0,298662577.9,720857.34,2.856333333,2021,1,2021-01-11,14.6,6.6,2.2,10.1,District I (Nord-Ouest)
84,86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana,Bizerte,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,246.0,38845.86,81.18,15.98666667,2020,11,2020-11-18,19.7,17.3,4.3,24.9,District I (Nord-Ouest)
85,35,57,25,27.0956288,42.26206161,8.340398059,71.12710390000002,mothbeans,Kairouan,Drip,DAP,bad,medium,best,spring,summer,autumn,9.0,1416.96,3.42,0.535,2024,11,2024-11-13,23.3,10.4,0.0,15.0,District III (Centre/Sahel)
86,41,26,24,29.53,59.06,7.2,460.0,urad,Mahdia,Drip,Twenty Eight-Twenty Eight,bad,medium,best,spring,summer,autumn,51579.0,8144839.89,17021.07,0.667777778,2023,3,2023-03-12,26.5,16.4,0.0,40.8,District III (Centre/Sahel)
87,85,35,32,26.24928198,54.28617819,6.854011265,133.1120232,coffee,Bizerte,Sprinkler,Urea,bad,best,bad,spring,summer,autumn,294.0,46452.0,97.02,2.491919191919192,2020,3,2020-03-23,16.3,12.3,0.0,21.2,District I (Nord-Ouest)
88,20,40,15,29.57329479,88.07505524,7.199495367999999,45.04467075,mungbean,Sfax,Drip,Fourteen-Thirty Five-Fourteen,bad,medium,best,summer,summer,autumn,98.0,15484.0,32.34,0.994949494949495,2024,4,2024-04-07,24.2,13.9,0.0,16.3,District IV (Sud-Ouest)
89,39,25,36,18.90223032,94.99897537,5.567805185,107.6103211,pomegranate,Mahdia,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,autumn,7199.0,1137442.0,2375.67,13.796116504854368,2023,6,2023-06-30,30.9,24.1,0.0,24.2,District III (Centre/Sahel)
90,23,58,19,24.17093241,58.25204566,5.243634848999999,59.18953429,mothbeans,Sidi Bouzid,Drip,DAP,bad,medium,best,spring,summer,autumn,16.0,2595.2,5.6,0.59,2024,11,2024-11-21,23.3,13.8,0.0,20.1,District IV (Sud-Ouest)
91,68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,Tunis,Flood,Twenty Eight-Twenty Eight,best,medium,bad,spring,summer,autumn,88449.47,14346504.03,30957.3145,2.684285714,2022,8,2022-08-18,37.3,26.8,0.0,22.2,District II (Grand Tunis et ses environs)
92,167,83,127,25.0,67.0,7.0,567.0,zucchini,Jendouba,Drip,Urea,bad,medium,best,spring,summer,summer,67.0,10586.0,22.11,60.0,2021,4,2021-04-15,18.6,11.8,10.2,15.3,District I (Nord-Ouest)
93,31,35,23,30.30260453,47.18283631,7.707595055,68.04039813,mothbeans,Sidi Bouzid,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,autumn,15858.0,2504136.78,5233.14,0.720769231,2024,3,2024-03-28,25.6,11.7,0.0,23.5,District IV (Sud-Ouest)
94,39,24,31,33.55695561,53.72979826,4.757114897,98.67527561,mango,Mahdia,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,summer,101113.0,15975854.0,33367.29,10.95959595959596,2023,5,2023-05-28,26.6,16.5,0.0,17.1,District III (Centre/Sahel)
95,40,49,47,42.93368602,91.1756748,6.501521192,246.36132680000003,papaya,Kasserine,Sprinkler,Ten-Twenty Six-Twenty Six,bad,best,bad,spring,summer,autumn,435.0,68730.0,143.55,64.0909090909091,2020,11,2020-11-04,21.7,9.9,0.0,14.6,District III (Centre/Sahel)
96,20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,chickpea,Kasserine,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,791.0,121220.75,276.85,0.93,2023,6,2023-06-08,30.3,17.7,0.7,13.4,District III (Centre/Sahel)
